Unnamed: 0,shipment_id,origin_location,origin_lat,origin_lon,destination_location,destination_lat,destination_lon,shipment_date,shipment_mode,weight_kg,freight_cost_usd,estimated_arrival," ""Result""",conflict_type,conflict_severity,conflict_date,conflict_region,weather_location,weather_range,weather_azimuth
,2936,PIKE,34.86,-81.89,ARTHURTOWN,33.9735,-81.0157,2024-09-01,Air,7718,2871.24,2024-09-18,,Strike,High,2024-08-24,Ethiopia,MOUNTAIN CITY,8.0,NNW
,3829,SANDY BANK,37.38,-77.1182,OHIOVILLE,41.7326,-74.0645,2024-08-01,Air,3642,1554.96,2024-08-08,,Political Protest,Low,2024-08-01,India,YOUNGSVILLE,0.1,SE
,4193,YOUNGSVILLE,36.57,-82.627,OCEAN VIEW,37.753,-122.3928,2024-02-01,Air,8752,8378.57,2024-02-25,,Political Protest,High,2024-02-01,India,SPRING VLY,2.8,SSE
,4213,REXBURG MDSN CO ARPT,36.18,-94.7089,ARTESIAN,33.2805,-92.4301,2023-04-01,Sea,6330,6707.05,2023-04-27,,Political Protest,High,2023-04-08,Pakistan,CAVE SPGS,2.0,N
565.0,164,SOMERSET,38.688,-77.02,DICKSON,38.29,-82.48,2024-08-01,Land,4102,3920.69,2024-08-15,,Political Protest,Low,2024-08-01,India,NEW POINT COMFORT,0.0,N
,3266,STATE LINE,32.5622,-97.3181,EAST TULARE VILLA,36.2114,-119.2326,2023-03-01,Land,8882,1619.54,2023-03-11,,Riots,Low,2023-02-19,Ethiopia,CARNEY,2.03,W
,164,SOMERSET,38.688,-77.02,DICKSON,38.29,-82.48,2024-08-01,Land,4102,3920.69,2024-08-15,,Political Protest,Low,2024-08-01,India,NORGE,0.19,ENE
,2339,NEW VICTORY,36.3858,-78.7444,MARICAO,18.1501,-66.9489,2024-08-01,Sea,1873,4355.59,2024-08-06,,Political Protest,Low,2024-08-01,India,THOMASVILLE,5.01,N
,3764,RED SHIRT,37.8102,-82.1347,MINDEN,32.1023,-94.7119,2023-01-01,Land,1147,2567.44,2023-01-15,,Strike,High,2023-01-07,Nigeria,BENTONVILLE,1.62,N
,1425,RANSOM,39.29,-78.99,STEUBENVILLE,40.36,-80.62,2024-08-01,Air,7173,9387.04,2024-08-13,,Political Protest,Low,2024-08-01,India,BATESVILLE,1.54,SE
,1016,CHETEK,38.69,-79.771,UKIAH,39.1529,-123.1917,2023-01-01,Air,3421,904.95,2023-01-18,,Strike,High,2023-01-07,Nigeria,WOODSFIELD,0.69,S
1005.0,309,BORDEN,37.6126,-93.6679,OCILLA,31.6,-83.25,2023-08-01,Air,4765,4857.54,2023-08-30,,Political Protest,Low,2023-07-24,Myanmar,OTTAWA,1.79,NNW
1083.0,326,HOAG,38.42,-81.1764,CAMDEN,33.5852,-92.8357,2023-01-01,Air,9733,6142.83,2023-01-08,,Strike,High,2023-01-07,Nigeria,ELK FORK,2.59,W
,4703,CHILDS,36.52,-92.6259,TAMPICO,48.3089,-106.8248,2023-04-01,Air,80,9681.82,2023-04-21,,Political Protest,High,2023-04-08,Pakistan,CONWAY,0.89,NW
,3045,MIDLAND,38.38,-79.9134,BRANCHVILLE,33.2602,-80.8148,2024-08-01,Sea,8573,7737.39,2024-08-25,,Political Protest,Low,2024-08-01,India,ZION,1.84,ESE
13193.0,4068,WALAPAI,36.0559,-94.899,HAPPY HOME,36.499,-79.6346,2023-04-01,Land,5385,9359.16,2023-04-13,,Political Protest,High,2023-04-08,Pakistan,PADEN,0.47,NNE
,4478,LOWMAN,32.9773,-81.7213,BROMMERSTOWN,40.61,-76.17,2023-07-01,Air,4024,8232.89,2023-07-05,,Border Skirmish,Critical,2023-07-09,Ukraine,WARREN XRDS,2.95,S
,1425,RANSOM,39.29,-78.99,STEUBENVILLE,40.36,-80.62,2024-08-01,Air,7173,9387.04,2024-08-13,,Political Protest,Low,2024-08-01,India,WEST ALIQUIPPA,1.26,WSW
7160.0,2339,NEW VICTORY,36.3858,-78.7444,MARICAO,18.1501,-66.9489,2024-08-01,Sea,1873,4355.59,2024-08-06,,Political Protest,Low,2024-08-01,India,BEACH,3.53,SE
,987,ALLENTON,34.08,-81.9914,BERNHARTS,40.3712,-75.9253,2023-07-01,Air,2455,858.15,2023-07-29,,Border Skirmish,Critical,2023-07-09,Ukraine,AVONDALE,4.97,SSW
,737,BROOKLYN,37.52,-78.9286,FT DETRICK,39.4177,-77.3995,2024-08-01,Air,5346,626.95,2024-08-12,,Political Protest,Low,2024-08-01,India,WARMINSTER,0.89,WSW
1329.0,380,GANSEVOORT,32.3305,-82.936,FOLLY BEACH C-MAN (FBIS1),32.5425,-79.6639,2023-07-01,Air,8684,7706.32,2023-07-17,,Border Skirmish,Critical,2023-07-09,Ukraine,MAYDAY,0.91,NW
10848.0,3266,STATE LINE,32.5622,-97.3181,EAST TULARE VILLA,36.2114,-119.2326,2023-03-01,Land,8882,1619.54,2023-03-11,,Riots,Low,2023-02-19,Ethiopia,GUNTER,1.62,W
5961.0,1710,INDIANAPOLIS INTL AR,34.36,-81.0063,CAIRO,37.0062,-89.1679,2023-07-01,Air,785,9946.65,2023-07-19,,Border Skirmish,Critical,2023-07-09,Ukraine,PROVIDENCE,1.82,WSW
14638.0,4703,CHILDS,36.52,-92.6259,TAMPICO,48.3089,-106.8248,2023-04-01,Air,80,9681.82,2023-04-21,,Political Protest,High,2023-04-08,Pakistan,WILLOW SPGS MEM ARPT,0.88,NW
,1357,OCEAN GROVE,37.4067,-93.53,KANNAPOLIS,35.49,-80.77,2023-08-01,Land,3421,4018.78,2023-08-18,,Political Protest,Low,2023-07-24,Myanmar,VINITA,0.86,ESE
,1710,INDIANAPOLIS INTL AR,34.36,-81.0063,CAIRO,37.0062,-89.1679,2023-07-01,Air,785,9946.65,2023-07-19,,Border Skirmish,Critical,2023-07-09,Ukraine,PEACH ORCHARD,2.09,W
,4068,WALAPAI,36.0559,-94.899,HAPPY HOME,36.499,-79.6346,2023-04-01,Land,5385,9359.16,2023-04-13,,Political Protest,High,2023-04-08,Pakistan,RIDGEDALE,1.11,W
4890.0,1405,MODOC,36.6357,-96.4,SENECA CREEK,39.3,-76.38,2023-09-01,Sea,8360,9467.44,2023-09-07,,Armed Conflict,Moderate,2023-09-10,India,TECUMSEH,0.11,WNW
,989,HIGDEN,34.07,-81.04,FAIRLAND,36.75,-94.85,2023-07-01,Air,7391,8228.1,2023-07-22,,Border Skirmish,Critical,2023-07-09,Ukraine,PICKENS,1.31,S
,2755,TOLEDO BEND RES NORT,33.9388,-98.7113,(NBC)MCAS BEAUFORT,32.49,-80.7,2024-04-01,Land,7361,8386.19,2024-04-20,,Political Protest,Moderate,2024-04-09,Ethiopia,SPRINGTOWN ARPT,1.8,SE
11010.0,3344,SEDAN,37.5941,-81.53,PARADISE,37.2566,-86.9835,2023-01-01,Air,4670,4171.04,2023-01-12,,Strike,High,2023-01-07,Nigeria,CHARTERS,0.95,NNE
,3626,FRIANT,38.71,-81.927,SPRING HILL,32.2431,-92.6265,2023-01-01,Sea,1457,4801.42,2023-01-26,,Strike,High,2023-01-07,Nigeria,WOODSFIELD,0.69,S
,987,ALLENTON,34.08,-81.9914,BERNHARTS,40.3712,-75.9253,2023-07-01,Air,2455,858.15,2023-07-29,,Border Skirmish,Critical,2023-07-09,Ukraine,MOSELLE,3.0,NNW
,1710,INDIANAPOLIS INTL AR,34.36,-81.0063,CAIRO,37.0062,-89.1679,2023-07-01,Air,785,9946.65,2023-07-19,,Border Skirmish,Critical,2023-07-09,Ukraine,LONGVIEW,1.33,NE
10178.0,3199,LIVINGSTON,34.2435,-81.32,KEARNEY,40.6752,-99.1085,2023-07-01,Sea,1006,9620.61,2023-07-16,,Border Skirmish,Critical,2023-07-09,Ukraine,WESTMINSTER,0.93,ESE
1988.0,737,BROOKLYN,37.52,-78.9286,FT DETRICK,39.4177,-77.3995,2024-08-01,Air,5346,626.95,2024-08-12,,Political Protest,Low,2024-08-01,India,HOPE VLY,4.87,WSW
51.0,164,SOMERSET,38.688,-77.02,DICKSON,38.29,-82.48,2024-08-01,Land,4102,3920.69,2024-08-15,,Political Protest,Low,2024-08-01,India,WAVERLY,0.69,N
,1425,RANSOM,39.29,-78.99,STEUBENVILLE,40.36,-80.62,2024-08-01,Air,7173,9387.04,2024-08-13,,Political Protest,Low,2024-08-01,India,MC DOWELL,2.42,N
,3045,MIDLAND,38.38,-79.9134,BRANCHVILLE,33.2602,-80.8148,2024-08-01,Sea,8573,7737.39,2024-08-25,,Political Protest,Low,2024-08-01,India,ELLISVILLE,1.26,N
9640.0,3045,MIDLAND,38.38,-79.9134,BRANCHVILLE,33.2602,-80.8148,2024-08-01,Sea,8573,7737.39,2024-08-25,,Political Protest,Low,2024-08-01,India,RIDGELEY,0.66,N
,3872,HOOKER,36.5945,-93.02,ST ANTHONY,43.97,-111.6398,2024-08-01,Land,7576,9220.58,2024-08-08,,Strike,Low,2024-08-06,India,ALTUS,0.44,SE
,164,SOMERSET,38.688,-77.02,DICKSON,38.29,-82.48,2024-08-01,Land,4102,3920.69,2024-08-15,,Political Protest,Low,2024-08-01,India,NORTH EAST,0.4,E
,2936,PIKE,34.86,-81.89,ARTHURTOWN,33.9735,-81.0157,2024-09-01,Air,7718,2871.24,2024-09-18,,Strike,High,2024-08-24,Ethiopia,ELIZABETHTON,5.0,E
