shipment_id,origin_location,origin_lat,origin_lon,destination_location,destination_lat,destination_lon,shipment_date,shipment_mode,weight_kg,freight_cost_usd,estimated_arrival," ""Result""",conflict_type,conflict_severity,conflict_date,conflict_region,weather_location,weather_range,weather_azimuth,origin_location_encoded,destination_location_encoded,conflict_severity_encoded,region_Ethiopia,region_India,region_Myanmar,region_Nigeria,region_Pakistan,region_South Sudan,region_Ukraine,mode_Air,mode_Land,mode_Sea,conflict_type_encoded,weather_azimuth_angle,weather_azimuth_sin,weather_azimuth_cos,weather_location_encoded,shipment_day,shipment_month,shipment_year,shipment_weekday,shipping_duration_days,arrival_day,arrival_month,arrival_year,arrival_weekday
3084,NIANGUA JCT,37.4269,-80.3547,CUMMINSVILLE,43.23,-76.88,2024-08-01,Sea,8241,3554.54,2024-08-23,,Political Protest,Low,2024-08-01,India,SUTPHIN,3.68,ENE,266,266,0,False,True,False,False,False,False,False,False,False,True,0,67.5,0.9238795325,0.3826834324,4,1,8,2024,3,22,23,8,2024,4
3084,NIANGUA JCT,37.4269,-80.3547,CUMMINSVILLE,43.23,-76.88,2024-08-01,Sea,8241,3554.54,2024-08-23,,Political Protest,Low,2024-08-01,India,FARMVILLE,1.79,ENE,266,266,0,False,True,False,False,False,False,False,False,False,True,0,67.5,0.9238795325,0.3826834324,48,1,8,2024,3,22,23,8,2024,4
4478,LOWMAN,32.9773,-81.7213,BROMMERSTOWN,40.61,-76.17,2023-07-01,Air,4024,8232.89,2023-07-05,,Border Skirmish,Critical,2023-07-09,Ukraine,WEST GREEN,3.25,ESE,242,242,3,False,False,False,False,False,False,True,True,False,False,4,112.5,0.9238795325,-0.3826834324,2,1,7,2023,5,4,5,7,2023,2
3045,MIDLAND,38.38,-79.9134,BRANCHVILLE,33.2602,-80.8148,2024-08-01,Sea,8573,7737.39,2024-08-25,,Political Protest,Low,2024-08-01,India,VIENNA,0.69,S,346,277,0,False,True,False,False,False,False,False,False,False,True,0,180.0,1.224646799e-16,-1.0,2,1,8,2024,3,24,25,8,2024,6
804,DOVER,37.162,-79.78,BURNING SPGS,37.2366,-83.7883,2024-09-01,Sea,7062,6615.93,2024-09-12,,Strike,High,2024-08-24,Ethiopia,AVON,0.95,SSE,327,327,2,True,False,False,False,False,False,False,False,False,True,1,157.5,0.3826834324,-0.9238795325,8,1,9,2024,6,11,12,9,2024,3
3548,PAWNEE,37.0231,-80.3551,ROMEOVILLE,41.6616,-88.073,2024-08-01,Land,5341,1906.41,2024-08-15,,Political Protest,Low,2024-08-01,India,FRANKLINTON,0.89,SW,329,329,0,False,True,False,False,False,False,False,False,True,False,0,225.0,-0.7071067812,-0.7071067812,48,1,8,2024,3,14,15,8,2024,3
164,SOMERSET,38.688,-77.02,DICKSON,38.29,-82.48,2024-08-01,Land,4102,3920.69,2024-08-15,,Political Protest,Low,2024-08-01,India,SWEET HALL,2.68,WNW,774,774,0,False,True,False,False,False,False,False,False,True,False,0,292.5,-0.9238795325,0.3826834324,6,1,8,2024,3,14,15,8,2024,3
1710,INDIANAPOLIS INTL AR,34.36,-81.0063,CAIRO,37.0062,-89.1679,2023-07-01,Air,785,9946.65,2023-07-19,,Border Skirmish,Critical,2023-07-09,Ukraine,TURNERSBURG,0.4,W,329,329,3,False,False,False,False,False,False,True,True,False,False,4,270.0,-1.0,-1.836970199e-16,2,1,7,2023,5,18,19,7,2023,2
3111,SABLE,39.9,-80.628,MADISON,38.6748,-122.0033,2023-01-01,Sea,6035,9623.24,2023-01-10,,Strike,High,2023-01-07,Nigeria,LITTLE,0.57,N,90,90,2,False,False,False,True,False,False,False,False,False,True,1,0.0,0.0,1.0,66,1,1,2023,6,9,10,1,2023,1
657,(ELP)EL PASO INTL AR,36.6139,-91.1,GALESTOWN,38.56,-75.72,2023-07-01,Sea,9039,9327.81,2023-07-15,,Riots,Critical,2023-07-11,India,CAIRO,0.79,ENE,109,109,3,False,True,False,False,False,False,False,False,False,True,2,67.5,0.9238795325,0.3826834324,7,1,7,2023,5,14,15,7,2023,5
