shipment_id,origin_location,origin_lat,origin_lon,destination_location,destination_lat,destination_lon,shipment_date,shipment_mode,weight_kg,freight_cost_usd,estimated_arrival, "Result"
1,ENOLA,41.6405,-97.21,STRONG,44.8081,-70.2214,2023-12-01,Land,9750,7292.58,2023-12-04
2,BAILEYVILLE,33.48,-72.0092,FORD,39.1122,-81.7089,2025-02-01,Sea,8512,6650.85,2025-02-18
3,CIALES,37.8853,-79.87,BROOKLAND,41.8226,-77.806,2024-06-01,Land,2610,776.87,2024-06-18
4,ROSELAND,32.95,-103.54,HANCOCK,42.94,-71.96,2024-06-01,Sea,5189,4627.74,2024-06-22
5,HILLTOP,37.7892,-97.0594,WEWAHITCHKA,30.0853,-85.1792,2024-09-01,Air,3610,6673.81,2024-09-07
6,BIG COPPITT KEY,41.36,-66.0353,DRY BRANCH,37.2274,-80.6246,2025-02-01,Land,4053,3030.33,2025-03-02
7,SCHRIEVER AFB,41.78,-70.3884,BUSH,34.0523,-115.4363,2023-08-01,Land,2227,3199.26,2023-08-09
8,NORFOLK,38.5911,-81.343,LEMONS,40.4044,-93.0473,2024-05-01,Air,887,1333.22,2024-05-13
9,ENON,44.848,-81.6211,BLOOMVILLE,42.33,-74.81,2023-08-01,Land,3764,4244.29,2023-08-15
10,SOUTH GREELEY,37.86,-81.1315,KARVAL,38.69,-103.69,2023-07-01,Air,3128,9869.62,2023-07-29
11,KINSTON,35.2435,-85.59,PORT HENRY,44.0831,-73.4456,2024-07-01,Sea,5082,2924.66,2024-07-28
12,SHERMAN,44.232,-122.7239,TORRINGTON,42.0917,-104.2482,2024-07-01,Sea,1700,5361.23,2024-07-07
13,CLINTON,31.14,-81.68,BOCA RATON,26.3742,-80.2094,2024-09-01,Land,2998,7458.05,2024-09-09
14,MOUNDSVILLE,40.0177,-85.5562,CRESCENT BEACH,29.72,-81.23,2023-06-01,Sea,2570,233.62,2023-06-28
15,FRUITLAND,42.17,-76.4585,ST MARY,40.41,-90.91,2023-05-01,Sea,7319,9014.35,2023-05-17
16,BAYARD,18.3168,-92.24,VERO BEACH,27.66,-80.41,2023-06-01,Air,7647,3926.85,2023-06-16
17,NORTH GERMANTOWN,40.9275,-120.53,GREENS CUT,33.2446,-81.9311,2023-01-01,Sea,9414,8704.25,2023-01-28
18,COMPTON MUNI ARPT,37.7156,-112.2,MACKSBURG,39.6433,-81.4534,2024-01-01,Sea,412,485.58,2024-01-25
19,SHELLY,35.4392,-81.8832,BLACKFOOT,43.1595,-112.3219,2024-07-01,Sea,8891,1542.07,2024-07-24
20,REXBURG,37.664,-109.85,SIOUX CITY,42.48,-96.33,2024-07-01,Air,2306,3293.04,2024-07-06
21,PEARL,39.13,-101.204,BAYAMON,18.3816,-66.1699,2024-09-01,Land,7402,3520.07,2024-09-24
22,HUNTER,37.6851,-116.7979,BELLEVILLE,42.85,-89.51,2024-07-01,Air,9377,8493.16,2024-07-18
23,WARREN XRDS,40.85,-112.411,ALGIERS,29.9414,-90.0681,2024-03-01,Land,4408,210.89,2024-03-06
24,TRACY MUNI ARPT,36.17,-99.94,STOTTS CITY,37.1346,-93.9514,2023-03-01,Land,5347,6447.01,2023-03-08
25,GALESVILLE,38.3783,-67.1555,WATERMAN,41.7616,-88.7513,2023-04-01,Sea,4911,1399.99,2023-04-16
26,CRYSTAL SPGS,29.1254,-91.9862,FREE UNION,38.1425,-78.5584,2024-08-01,Sea,925,8249.83,2024-08-29
27,SALTILLO,40.048,-86.03,PIKETON,39.1031,-83.0335,2024-09-01,Air,6005,7807.88,2024-09-29
28,WRAY BOWMAN ARPT,38.509,-76.3118,MELDRIM,32.12,-81.3894,2024-08-01,Air,7179,5049.22,2024-08-18
29,PITTSBURG,18.089,-94.44,KENT POINT MD (KPTM2),38.74,-76.35,2024-07-01,Air,3901,2205.6,2024-07-20
30,JOHNSON CORNERS,30.39,-98.97,KNOXVILLE DOWNTOWN I,35.9433,-83.8663,2023-05-01,Sea,9394,6381.5,2023-05-09
31,LAWRENCEVILLE,32.1357,-96.9912,ELGIN,35.723,-91.2634,2023-02-01,Land,7855,1646.96,2023-02-26
32,PALOUSE,39.5894,-102.4069,GEORGEVILLE,35.317,-80.475,2024-08-01,Air,6706,1981.24,2024-08-21
33,PALO CEDRO,39.32,-88.94,JACKSONVILLE BEACH,30.283,-81.3879,2023-06-01,Land,1972,6304.23,2023-06-06
34,MANY FARMS,32.45,-94.3238,ORANGEBURG,33.4931,-80.8764,2024-08-01,Sea,8870,9913.16,2024-08-29
35,ANACOSTIA,42.6267,-80.53,THISTLE,40.01,-111.49,2024-06-01,Sea,9966,8921.5,2024-06-12
36,KENNEDALE,36.4996,-94.3238,THE ISLANDS,41.5763,-82.9703,2024-05-01,Sea,1178,5971.76,2024-05-11
37,RIGBY,35.5484,-80.1827,DELAWARE,40.3036,-83.0645,2023-07-01,Sea,4611,5431.51,2023-07-23
38,FERNANDINA BEACH,36.6709,-118.974,DEVORE,34.1911,-117.4307,2025-02-01,Land,9005,9984.01,2025-02-14
39,PRINCETON,36.0897,-80.2749,SANTA RITA,36.7441,-121.6937,2024-03-01,Land,1069,5519.23,2024-03-27
40,SAVANNAH,-14.2773,-96.87,GRIFFIN MILLS,42.736,-78.639,2024-07-01,Air,5074,4259.15,2024-07-14
41,SOUTH AMBOY JCT,38.17,-93.7803,TOMPKINSVILLE,38.3246,-76.8903,2023-07-01,Land,7624,9104.6,2023-07-11
42,BEULAH,29.47,-92.29,ORMOND BEACH MUNI AR,29.25,-81.2,2023-09-01,Land,3977,2418.42,2023-09-25
43,HARBOR JCT,36.48,-82.262,HAMPSHIRE,35.5996,-87.3186,2023-08-01,Land,2891,1065.51,2023-08-04
44,NEESES,39.09,-78.9575,HILLSDALE,38.7183,-94.8295,2024-05-01,Air,5527,6377.49,2024-05-05
45,FRIONA,18.2365,-121.9209,AVILLA,41.36,-85.24,2024-05-01,Land,8916,1048.91,2024-05-23
46,PEYTON,38.4367,-92.8381,EL DORADO,33.2364,-92.6693,2023-05-01,Land,1058,3794.17,2023-05-07
47,FT MILL,28.63,-93.26,BREMEN,37.37,-87.22,2023-07-01,Land,1276,4293.42,2023-07-05
48,OYAMA,36.35,-78.0419,QUAKER CITY,39.97,-81.3,2024-03-01,Sea,1685,5520.63,2024-03-28
49,RED BANK,38.36,-117.8806,MECHANICSVILLE,37.59,-77.32,2023-06-01,Land,7311,9917.43,2023-06-05
50,NORTH BAY NORTH EAST MD (NRTBY),38.8578,-78.7297,CRESTON,36.0226,-85.0433,2023-01-01,Air,8565,2287.72,2023-01-16
51,VAN WYCK,32.2272,-75.1818,ETTER,35.98,-101.98,2023-05-01,Air,7579,3819.99,2023-05-25
52,ADAMS BEACH,38.0072,-81.52,BLACK HAWK,44.15,-103.31,2023-08-01,Air,1735,1409.18,2023-08-24
53,LITTLETON,31.7899,-88.77,MAPLE,35.4589,-94.6512,2023-07-01,Air,3762,6115.37,2023-07-23
54,NEW HARMONY,38.2117,-76.8229,OTIS,30.2764,-81.8576,2024-02-01,Sea,7108,7303.96,2024-02-09
55,FAIRFIELD,37.4279,-75.4376,LAREDO,27.5801,-99.5232,2023-10-01,Air,8783,4872.56,2023-10-07
56,NOBLE,37.65,-119.6779,URSINE,37.9799,-114.2184,2023-03-01,Sea,2994,2533.73,2023-03-28
57,VIVIAN,47.26,-91.03,HENDERSON MILL,30.5383,-85.1004,2023-05-01,Sea,1377,6246.79,2023-05-30
58,SANGER,40.9,-83.6603,STEPHENS CITY,39.0969,-78.2214,2023-09-01,Sea,5956,5437.66,2023-09-29
59,FITZWILLIAM,38.76,-97.8,FREEBURG,38.873,-84.0317,2023-07-01,Air,8880,1794.74,2023-07-18
60,RUTLEDGE,30.83,-77.99,RIO MEDINA,29.43,-98.89,2024-04-01,Air,2310,4116.25,2024-04-26
61,APALACHICOLA,30.17,-87.1758,DEATH VLY JCT,36.3146,-116.4282,2023-08-01,Sea,1479,4408.45,2023-08-06
62,GENOA,37.4863,-89.82,LITTLE MTN,34.1848,-81.3713,2023-09-01,Sea,9203,9827.92,2023-09-29
63,BIRDSALL,44.1881,-84.3391,NATIONALS PARK (WSHNP),38.87,-77.01,2023-07-01,Air,3012,8507.93,2023-07-07
64,TUNNEL,38.0532,-93.66,SANDY POINT (SPT),39.0753,-76.4975,2023-07-01,Land,7436,7370.27,2023-07-20
65,EXETER,39.5934,-87.87,HICKORY BARREN,37.33,-93.21,2024-03-01,Land,2518,8898.89,2024-03-09
66,WOODS CORNER,36.2377,-89.3753,OAK FOREST,39.3841,-85.0598,2023-07-01,Land,3278,7381.3,2023-07-05
67,CEDAR KEY,39.99,-83.942,GROVE,42.45,-77.87,2024-06-01,Air,8370,9043.68,2024-06-23
68,SUTTON,33.9002,-100.885,JUDSONIA,35.2581,-91.618,2023-02-01,Air,4449,640.08,2023-02-16
69,MANDEVILLE,31.4786,-101.7,GRAYTON BEACH,30.3235,-86.1466,2023-07-01,Sea,4016,4615.06,2023-07-18
70,LUTHER,31.13,-79.8641,BIG COPPITT KEY,24.5801,-81.6829,2023-06-01,Air,9158,7494.29,2023-06-08
71,OKMULGEE ARPT,34.7258,-118.8851,EAST WILLIAMSON,37.67,-82.27,2024-05-01,Air,5331,5874.63,2024-05-27
72,HARRIS GROVE,35.5992,-93.5008,TILLMAN,31.8409,-90.908,2024-01-01,Air,5067,1834.15,2024-01-22
73,SAMS CREEK,44.18,-76.3,REMERTON,30.8502,-83.3337,2024-07-01,Sea,5205,3470.87,2024-07-09
74,HARTS RUN,39.0288,-79.84,COMPTON,41.7185,-89.062,2023-04-01,Sea,1300,3245.97,2023-04-20
75,ALEXANDRIA JCT,30.8836,-99.77,GOOD HOPE,33.79,-83.61,2025-02-01,Land,4738,2687.33,2025-02-28
76,GAYLORD,37.7795,-85.6,HOLDEN HGTS,28.5137,-81.3803,2024-09-01,Land,4123,3497.04,2024-09-04
77,ALGER,38.09,-101.5707,HENDERSON,32.16,-94.79,2024-06-01,Air,3837,5197.05,2024-06-05
78,TACOMA,35.88,-83.8959,CUMMINGS,35.8827,-85.4497,2024-05-01,Air,9181,8563.2,2024-05-04
79,AVERY CREEK,41.5973,-79.6154,BOSTON,37.3627,-94.2983,2024-06-01,Sea,5708,7446.12,2024-06-11
80,CHATSWORTH,27.79,-119.0539,MARS HILL CROSSROADS,32.11,-83.68,2024-06-01,Land,9243,8368.97,2024-06-07
81,FREDERICK ARPT,47.6507,-112.95,BOLIVAR,37.62,-93.41,2024-10-01,Land,3822,8847.68,2024-10-21
82,EAST TROY ARPT,39.7304,-66.3847,MELVIN HGTS,44.2191,-69.1285,2023-01-01,Land,2262,4219.89,2023-01-26
83,EL DORADO,42.08,-123.6643,DACUSVILLE,34.887,-82.504,2023-08-01,Air,6917,3525.66,2023-08-27
84,ALGIERS,28.8992,-80.2,BOLINS MILLS,39.2922,-82.264,2024-01-01,Air,7013,670.47,2024-01-12
85,ANSON,38.8393,-102.13,KILLIAN,34.148,-80.9721,2024-08-01,Air,9852,9311.87,2024-08-18
86,LYTLE CREEK,42.3306,-77.7842,ELK,38.34,-81.66,2023-07-01,Sea,9869,751.65,2023-07-19
87,EMMONS,26.4502,-66.7554,MARLINTON,38.2167,-80.1234,2025-02-01,Land,5743,7437.24,2025-02-24
88,EDDYSTONE,36.7057,-94.7391,FEATHERVILLE,43.6022,-115.2696,2023-08-01,Sea,4041,3843.27,2023-08-06
89,ULSTERVILLE,40.8634,-79.4587,ALGIERS,29.96,-90.06,2024-07-01,Land,9345,9492.93,2024-07-04
90,DUG HILL,47.2875,-118.8643,WEST SALEM,43.91,-91.07,2023-07-01,Air,2237,4254.06,2023-07-27
91,STUBBS MILLS,38.8505,-101.96,LEMON,37.5494,-87.3771,2024-06-01,Sea,3082,8184.42,2024-06-16
92,HAGERMAN,39.74,-75.4,HILLSVIEW,45.62,-99.47,2024-06-01,Sea,3953,2898.28,2024-06-17
93,DENVER,44.89,-79.8215,SHREVEPORT DOWNTOWN,32.5144,-93.753,2023-06-01,Air,8270,3060.98,2023-06-09
94,EAST BRUNSWICK,37.6701,-75.97,HARBOR JCT,41.7977,-71.4052,2024-05-01,Land,9502,5995.64,2024-05-08
95,ZION,36.24,-104.79,RAPID CITY,44.124,-103.181,2023-09-01,Land,3720,9980.03,2023-09-26
96,WHITE RIVER,32.2458,-97.6887,GOODLAND ARPT,39.37,-101.69,2023-04-01,Land,5777,5223.97,2023-04-08
97,LITTLETON,41.42,-78.8684,GLENNALLEN,62.1082,-145.5281,2023-05-01,Land,4944,9369.46,2023-05-30
98,BONNEAU,36.0806,-98.69,DANVILLE,43.2879,-88.9999,2023-04-01,Air,5568,7883.87,2023-04-07
99,ATHLONE,44.4398,-86.9889,FORBING,32.3618,-93.7575,2024-04-01,Air,2386,7979.06,2024-04-24
100,DOG CORNER,35.5281,-114.2125,WEWELA,43.01,-99.78,2024-07-01,Air,3373,4416.0,2024-07-15
101,PAWNEE,41.5,-81.7554,DES MOINES,41.5798,-93.6591,2024-07-01,Air,7170,3926.77,2024-07-17
102,BURR OAK,38.6413,-65.7838,CAMP HILL ARPT,32.7726,-85.6757,2024-08-01,Sea,7909,2000.03,2024-08-30
103,SOUTHSIDE ESTATES,35.71,-88.0486,TIMBERLAKE,37.3176,-79.2689,2025-02-01,Sea,149,9643.02,2025-02-26
104,JERKTAIL,30.3535,-97.78,TONYVILLE,36.2528,-119.1,2023-01-01,Sea,3706,9598.0,2023-01-17
105,JAYUYA,38.93,-92.38,PARISH,43.4052,-76.1196,2023-07-01,Air,6836,7495.97,2023-07-14
106,LARCHMONT HARBOR WXFLOW,30.67,-119.3061,CRYSTAL RIVER,28.8847,-82.6012,2024-06-01,Land,743,3032.9,2024-06-25
107,PARK CITY,38.4364,-91.874,LAKELAND,31.0433,-83.0795,2024-05-01,Sea,4851,2527.28,2024-05-13
108,CHEDDAR,40.5154,-96.49,FALL RIVER,37.61,-96.03,2024-05-01,Sea,8259,9887.24,2024-05-13
109,DREWSEY,34.4183,-90.5336,CLYATTVILLE,30.7007,-83.2654,2023-08-01,Air,3759,758.77,2023-08-30
110,WILSON,35.9257,-77.6311,NORTH COVE CROSSING,35.849,-81.96,2023-08-01,Land,2820,8451.29,2023-08-12
111,WRIGHTSBORO,40.1,-78.7084,LAMAR ARPT,38.07,-102.68,2024-08-01,Land,1080,3619.03,2024-08-29
112,TOLAR,39.818,-80.2482,INWOOD,30.61,-84.95,2024-12-01,Land,4525,4246.81,2024-12-05
113,MIDDLE VERDE,37.7628,-81.668,JENNINGS,39.68,-100.2918,2024-06-01,Air,4259,8336.58,2024-06-17
114,COLUMBIA,32.66,-100.0697,LADNER,45.8245,-103.7108,2024-07-01,Land,7045,996.97,2024-07-10
115,WESCONNETT,36.92,-77.13,POWLEYS CORNERS,40.4456,-87.5271,2024-06-01,Sea,1669,3606.28,2024-06-20
116,PRICES FORK,42.9867,-77.02,(FCH) CHANDLER AF,36.7499,-119.8236,2023-01-01,Sea,9092,9525.04,2023-01-27
117,BUFFALO HARBOR,37.9452,-85.0045,MARBLE HILL,37.3307,-90.0086,2023-03-01,Sea,9217,7020.75,2023-03-23
118,CHINCHILLA,42.8689,-76.39,GIRVAN,40.479,-122.398,2025-02-01,Air,2566,7573.9,2025-02-11
119,FOLSOM,45.0795,-157.3782,ALICE,46.73,-97.51,2024-07-01,Land,9757,7599.3,2024-07-27
120,WHITE EARTH,37.8158,-64.9717,HAWKEYE,42.9441,-91.9547,2024-06-01,Air,8045,699.64,2024-06-23
121,SOUTH FONTANA,35.63,-100.81,SPRING VLY,41.28,-110.8,2024-06-01,Land,1175,2111.76,2024-06-07
122,ABBOTS MILL,39.2405,-108.78,EMMETT,39.27,-96.07,2024-06-01,Air,8734,4963.51,2024-06-08
123,SPIRIT LAKE LAKE,30.1047,-94.9159,SEYMOUR,33.5847,-99.264,2023-08-01,Sea,6956,3744.69,2023-08-16
124,UNIVERSAL CITY,45.85,-96.92,JEFFERSON,32.76,-94.34,2024-06-01,Air,5654,4168.03,2024-06-10
125,HANSON,42.1401,-78.9857,WALNUTTOWN,40.4525,-75.8261,2023-07-01,Air,3086,7836.33,2023-07-09
126,UNDERWOOD,38.6595,-80.29,HAMPSTEAD,34.39,-77.78,2023-08-01,Air,2576,245.32,2023-08-20
127,FT JOHNSON,36.8313,-86.5498,COOPERSTOWN GLADE AR,40.7469,-79.8763,2024-04-01,Sea,216,6638.87,2024-04-09
128,FIRE ISLAND WXFLOW,38.6086,-77.893,KAUFMAN,32.5669,-96.3219,2024-04-01,Air,4239,101.09,2024-04-22
129,KNOLLWOOD,32.6403,-87.88,PRICEVILLE,37.3494,-85.9652,2024-07-01,Air,7398,724.28,2024-07-28
130,BEAVER,38.38,-118.24,EAST WILLISTON,29.37,-82.45,2023-06-01,Sea,625,4142.03,2023-06-06
131,MIAMI BEACH,44.4566,-83.6604,HARRIETSVILLE,39.6222,-81.3782,2023-01-01,Land,7221,8425.39,2023-01-12
132,REMERTON,41.5795,-89.5697,MEHOOPANY STATION,41.559,-76.0561,2023-12-01,Air,8847,1535.46,2023-12-24
133,NEW HOPE,36.3575,-119.1298,(HUT)HUTCHINSON MUNI,38.06,-97.86,2024-06-01,Sea,3393,5590.75,2024-06-29
134,RUBICON,36.702,-80.2942,METTLER,35.061,-118.9654,2023-08-01,Air,1868,6817.2,2023-08-18
135,FLOODWOOD,39.19,-92.8525,FAIRVIEW,36.7946,-119.5095,2023-03-01,Sea,9397,2372.38,2023-03-11
136,ROMONT,37.9068,-124.1253,BADEN,32.126,-102.0074,2023-10-01,Land,9057,5172.07,2023-10-28
137,CASTLEWOOD,44.3995,-76.621,WELLINGFORD,43.26,-94.71,2024-07-01,Land,6073,9122.93,2024-07-28
138,GLENCOE,38.3011,-76.494,AUSTIN ACRES,43.6497,-92.9717,2024-06-01,Air,9777,5171.06,2024-06-26
139,PILOT,40.4839,-84.8,BRICEBURG,37.5961,-119.9762,2025-02-01,Sea,8029,1657.5,2025-03-01
140,GLENNS,36.8219,-97.35,WEBB LAKE,46.1577,-92.0498,2023-04-01,Land,9204,6315.36,2023-04-18
141,PONCA CITY,43.4269,-68.9374,LUFKIN,31.37,-94.73,2024-05-01,Land,5221,5962.78,2024-05-04
142,(IAB) MCCONNELL ARPT,36.32,-99.48,NEW BERN,35.1177,-77.0459,2024-07-01,Sea,5459,366.85,2024-07-11
143,HANGING ROCK,36.1604,-101.91,HOBGOOD,36.0253,-77.4242,2024-05-01,Air,4591,996.88,2024-05-26
144,MT CARMEL,33.9232,-97.9135,COALINGA MUNI ARPT,36.2285,-120.5703,2023-01-01,Land,6430,1652.14,2023-01-07
145,KERN CITY,40.4564,-121.6597,MILLWOOD,31.27,-82.66,2023-06-01,Land,3910,1449.26,2023-06-25
146,SAUNDERS POINT LIGHT,37.1027,-74.04,LEBEC,34.8713,-118.8875,2023-02-01,Land,1564,2668.71,2023-02-13
147,GENEVA,34.2912,-80.06,TABLE GROVE,40.37,-90.37,2023-04-01,Air,1117,4595.64,2023-04-19
148,ARMBRUST,36.7498,-85.95,RAMIREZ,39.3511,-121.577,2025-02-01,Land,931,3779.99,2025-02-21
149,CLIVE,36.5517,-85.92,KENNEDY,36.625,-87.3139,2025-02-01,Sea,6959,8917.43,2025-02-07
150,GRAND CANE,35.12,-87.6961,PARKVILLE,39.2,-94.68,2024-10-01,Air,5082,6159.88,2024-10-11
151,GLENFAWN,43.49,-85.27,BRIDGEPORT,42.9002,-76.7506,2024-07-01,Land,6552,8773.83,2024-07-07
152,(CYS)CHEYENNE AIRPORT,31.6,-119.8945,WILGUS,38.6319,-82.4602,2025-02-01,Sea,3689,5317.69,2025-02-13
153,(RBL)RED BLUFF MUNI,41.92,-120.6694,AMARILLO,35.26,-101.88,2024-05-01,Sea,9791,989.72,2024-05-23
154,PINE RIDGE,38.4909,-108.7805,ROSSLYN,37.8432,-83.8148,2024-08-01,Air,4607,4686.55,2024-08-07
155,BRULE,43.3162,-83.6055,COMSTOCK,29.69,-101.32,2023-06-01,Sea,8342,8238.12,2023-06-19
156,SHIPPEE,35.7287,-93.89,AZALIA,38.969,-85.7189,2024-09-01,Air,3582,2021.63,2024-09-15
157,FAIRDEALING,35.994,-81.21,GARLOCK,35.393,-117.7948,2023-06-01,Air,2866,1003.02,2023-06-13
158,MURRAY,36.5206,145.708,ARARAT,36.402,-80.5613,2024-01-01,Air,6461,3361.4,2024-01-28
159,FIG GARDEN,34.37,-111.4487,POTOMAC POINT LOOKOUT BUOY (44042),38.03,-76.34,2024-04-01,Sea,457,3950.09,2024-04-14
160,CHESTER,42.9594,-92.65,NORTH SLIDELL,30.3169,-89.7871,2024-12-01,Air,7254,3131.95,2024-12-05
161,PEGVILLE,38.5196,-76.4246,WHEELING,40.0763,-80.6987,2024-04-01,Air,2565,1438.88,2024-04-19
162,NEW GLASGOW,27.5249,-119.5394,WEIKERT,40.8725,-77.2453,2023-02-01,Sea,8183,2583.31,2023-02-26
163,WOODLAND HGTS,32.15,-66.7907,VIDAL JCT ARPT,34.2762,-114.6617,2023-08-01,Air,1789,6854.6,2023-08-22
164,SOMERSET,38.688,-77.02,DICKSON,38.29,-82.48,2024-08-01,Land,4102,3920.69,2024-08-15
165,FAJARDO,32.77,-75.62,EAST LAKE,46.56,-93.28,2023-09-01,Sea,308,6362.24,2023-09-07
166,(FTK)GODMAN AAF FT K,31.137,-87.751,WALPOLE,43.05,-72.46,2024-06-01,Sea,8750,5409.41,2024-06-20
167,INGER,36.69,-112.4017,PISGAH CHURCH,30.556,-84.1485,2024-04-01,Sea,5836,5535.62,2024-04-15
168,RUTLAND,25.9524,-122.07,CUNNINGHAM,39.65,-93.24,2023-03-01,Land,3733,2560.64,2023-03-19
169,(DPG)MICHAEL AAF DUG,39.0434,-81.52,SHAWNEE,47.9,-97.75,2024-08-01,Air,4770,5263.28,2024-08-06
170,WALTERS,30.06,-82.3466,TULLS,36.54,-76.1,2023-07-01,Sea,3776,333.59,2023-07-05
171,PATRICK SPGS,36.5517,-67.0127,FRIENDSHIP,38.9737,-85.1558,2023-03-01,Sea,728,4374.26,2023-03-29
172,ALGIERS,43.55,-93.7309,ELK GROVE,42.6553,-90.4184,2023-03-01,Sea,9525,5768.97,2023-03-10
173,METTLER,35.2833,-89.4903,HICKERSON,35.4024,-86.1822,2023-07-01,Land,9148,1901.76,2023-07-09
174,GUAYAMA,25.911,-84.68,ONTARIO ON THE LAKE,43.28,-77.37,2024-07-01,Land,8509,2639.93,2024-07-04
175,RUSSELL,29.71,-103.16,PLEASANT PLAINS,34.24,-78.68,2023-07-01,Land,6176,2273.36,2023-07-18
176,WOLFFORTH,39.1447,-80.1324,ROSE PT,40.9748,-80.2343,2024-04-01,Air,4956,798.52,2024-04-30
177,BERKLEY HILLS,42.36,-80.8374,SCARSDALE,40.9592,-73.7927,2023-09-01,Air,7948,3543.79,2023-09-15
178,FRIENDSHIP,39.4581,-81.741,GALLATIN,40.21,-79.9,2023-08-01,Land,1250,9791.76,2023-08-16
179,HOLTONVILLE,40.79,-72.7766,ARMSTRONGS MILLS,39.8951,-80.8841,2024-04-01,Air,5405,3603.42,2024-04-11
180,SEARCY,47.77,-80.9172,CHARLOTTE,44.3129,-73.2329,2024-07-01,Land,1166,4659.31,2024-07-12
181,SHIPROCK,37.1966,-80.8453,ADNER,32.5805,-93.5721,2023-04-01,Air,6394,6565.56,2023-04-04
182,MADRID,39.26,-102.52,PRINCEVILLE,22.2107,-159.4763,2023-02-01,Air,5980,6520.13,2023-02-08
183,HAVEN,37.9716,-103.16,SALINE,41.07,-112.59,2024-10-01,Land,9140,9503.96,2024-10-10
184,FREMONT COUNTY ARPT,39.8987,-74.8669,SAGEVILLE,42.5561,-90.707,2024-06-01,Sea,1108,8589.88,2024-06-21
185,SMELTERTOWN,39.0432,-122.451,PALO DURO CANYON STATE PARK,34.9762,-101.6704,2024-06-01,Sea,7334,7960.11,2024-06-25
186,REAGOR SPGS,41.4729,-75.59,BATH,42.3337,-77.3173,2024-07-01,Air,737,9521.11,2024-07-11
187,LINCOLN,39.97,-103.21,OLD TAMPA BAY,27.98,-82.53,2023-09-01,Air,5627,2384.58,2023-09-27
188,BOONVILLE,43.77,-107.5428,SPRINGFIELD,39.93,-83.81,2023-07-01,Air,5640,6208.84,2023-07-29
189,COTTON,40.61,-113.6211,RED HOUSE,38.52,-81.91,2023-07-01,Air,8202,8883.25,2023-07-13
190,CHAPMAN,33.9279,-93.7515,MURL,36.8313,-84.9382,2024-08-01,Air,7113,6278.97,2024-08-11
191,WILLOW CREEK,41.1381,-93.0826,OLD LIBERTY,36.67,-79.83,2024-01-01,Air,9029,9776.46,2024-01-15
192,COLUMBIA,43.8479,-111.3604,BEAVER MUNI ARPT,37.0045,-112.1502,2024-08-01,Land,8445,1093.49,2024-08-19
193,HORATIO,42.81,-97.0539,(RDU)RALEIGH-DURHAM,35.8874,-78.804,2024-07-01,Sea,2541,4449.37,2024-07-15
194,RALEIGH,37.763,-80.1198,GOODFIELD,35.46,-84.83,2023-08-01,Sea,4872,9775.89,2023-08-25
195,MELBOURNE,40.08,-122.2369,PACIFIC CITY,41.034,-95.839,2024-07-01,Land,7054,3857.72,2024-07-25
196,BLACK RIVER FALLS,31.81,-95.6654,LIBERTY,39.24,-94.44,2024-10-01,Land,7061,7421.61,2024-10-30
197,BOLIVAR,35.2468,-99.9031,SCOTTSVILLE,37.805,-78.5122,2024-01-01,Sea,5750,400.99,2024-01-06
198,MAUNIE,34.08,-97.35,JEMEZ SPGS,35.8226,-106.5777,2024-05-01,Sea,4912,6978.89,2024-05-21
199,RICHBURG,43.38,-94.27,STEINERSVILLE,39.8775,-80.8842,2024-04-01,Air,5400,9352.8,2024-04-08
200,PALACE,30.47,-83.0,MERCED FALLS,37.5277,-120.3131,2025-02-01,Sea,9468,3888.79,2025-02-17
201,NUEL,40.73,-119.2823,DUBLIN,40.4,-75.2,2023-07-01,Air,9155,310.87,2023-07-28
202,ANGOLA TRI STATE ARP,18.1235,-86.894,SOUTH WILMINGTON,34.1756,-77.8915,2023-04-01,Air,9661,376.31,2023-04-23
