YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202502,199157,1235543,3,2.74,"SSW","ROVER",38.9832,-81.4492,3858992,8126952
202502,199157,1235543,4,.76,"SE","ROVER",39.0132,-81.4188,39792,8125128
202502,199157,1235543,5,.28,"SSE","ROVER",39.0163,-81.4282,39978,8125692
202502,199157,1235543,6,3.22,"WNW","PEE WEE",38.9603,-81.5384,3857618,8132304
202502,199157,1235543,7,2.99,"W","PEE WEE",38.9531,-81.5355,3857186,8132130
202502,199157,1238645,1,1.47,"ESE","DILLON",37.7627,-80.9247,3745762,8055482
202502,199157,1238645,2,2.2,"SE","MADELINE",37.5502,-81.2687,3733012,8116122
202502,199157,1238645,3,6.46,"WNW","HAZY",37.8886,-81.6661,3753316,8139966
202502,199157,1238645,4,1.12,"N","MAYNOR",37.886,-81.2669,3753160,8116014
202502,199157,1238659,1,1.47,"ESE","DILLON",37.7627,-80.9247,3745762,8055482
202502,199157,1238659,2,2.2,"SE","MADELINE",37.5502,-81.2687,3733012,8116122
202502,199157,1238659,3,.52,"ESE","EDWIGHT",37.8785,-81.5207,3752710,8131242
202502,199157,1238659,4,1.3,"N","MAYNOR",37.8886,-81.2667,3753316,8116002
202502,199157,1238670,1,1.47,"ESE","DILLON",37.7627,-80.9247,3745762,8055482
202502,199157,1238670,2,2.2,"SE","MADELINE",37.5502,-81.2687,3733012,8116122
202502,199157,1238670,3,.52,"ESE","EDWIGHT",37.8785,-81.5207,3752710,8131242
202502,199157,1238670,4,1.41,"SE","MAYNOR",37.855,-81.2525,3751300,8115150
202502,199157,1238723,1,2.41,"NW","MILL PT",38.1747,-80.2114,3810482,8012684
202502,199157,1238723,2,2.09,"NW","DROOP",38.125,-80.3017,387500,8018102
202502,199157,1238723,3,1.88,"S","KENNISON",38.0928,-80.1785,385568,8010710
202502,199157,1238723,4,2.25,"ESE","VIOLET",38.1352,-80.1131,388112,806786
202502,199157,1238726,1,1.69,"NNE","HORSEPEN",37.2409,-81.514,3714454,8130840
202502,199157,1238726,2,1.21,"NNE","BISHOP",37.2153,-81.5591,3712918,8133546
202502,199157,1238726,3,2.24,"SW","VALLSCREEK",37.2068,-81.6783,3712408,8140698
202502,199157,1238726,4,1.01,"SE","BEAR WILLOW",37.2415,-81.7152,3714490,8142912
202502,199157,1238726,5,2.42,"NW","BEAR WILLOW",37.2779,-81.7568,3716674,8145408
202502,199157,1238726,6,2.39,"N","PAYNESVILLE",37.3345,-81.8796,3720070,8152776
202502,199157,1238726,7,1.9,"SE","GARLAND",37.3779,-81.7594,3722674,8145564
202502,199157,1238735,1,.69,"WNW","KEYSTONE",37.4226,-81.4622,3725356,8127732
202502,199157,1238735,2,.36,"SSW","REAM",37.3454,-81.5532,3720724,8133192
202502,199157,1238735,3,1.38,"WSW","ERIN",37.4212,-81.7225,3725272,8143350
202502,199157,1238735,4,.13,"WSW","DAVY",37.4796,-81.6523,3728776,8139138
202502,199157,1239512,1,1.38,"N","WILLIAMSON ARPT",37.7,-82.27,3742000,8216200
202502,199157,1239512,2,2.46,"NE","VARNEY",37.69,-82.0627,3741400,823762
202502,199157,1239514,1,.55,"W","WEST LOGAN",37.87,-81.99,3752200,8159400
202502,199157,1239515,1,.54,"E","GLEN FERRIS",38.15,-81.21,389000,8112600
202502,198701,1228865,3,.69,"ESE","BEL AIR ESTATES",36.5654,-87.4091,3633924,8724546
202502,198701,1228865,4,.61,"SE","BEL AIR ESTATES",36.5649,-87.411,3633894,8724660
202502,198701,1228865,5,.42,"ESE","BEL AIR ESTATES",36.5678,-87.413,3634068,8724780
202502,198701,1228866,1,.7,"N","FREDONIA",36.44,-87.2187,3626400,8713122
202502,198701,1228866,2,.61,"N","FREDONIA",36.4388,-87.2183,3626328,8713098
202502,198701,1228866,3,.69,"NW","FREDONIA",36.4373,-87.2285,3626238,8713710
202502,198701,1228866,4,.46,"NE","HICKORY PT",36.4345,-87.2439,3626070,8714634
202502,198701,1228866,5,.24,"NNE","HICKORY PT",36.4332,-87.2483,3625992,8714898
202502,198701,1228866,6,.41,"NNE","HICKORY PT",36.4357,-87.2479,3626142,8714874
202502,198701,1228866,7,1.02,"NW","FREDONIA",36.4406,-87.2328,3626436,8713968
202502,198701,1228867,1,.94,"ENE","OAKWOOD",36.5343,-87.564,3632058,8733840
202502,198701,1228867,2,.67,"ENE","OAKWOOD",36.5338,-87.569,3632028,8734140
202502,198701,1228867,3,.68,"ESE","OAKWOOD",36.5255,-87.5692,3631530,8734152
202502,198701,1228867,4,1.22,"NE","STRINGTOWN",36.494,-87.5568,3629640,8733408
202502,198701,1228867,5,1.29,"NE","STRINGTOWN",36.4943,-87.5549,3629658,8733294
202502,198701,1228867,6,1.7,"SE","OAKWOOD",36.515,-87.5557,3630900,8733342
202502,198701,1228868,1,4.17,"WNW","BARREN PLAIN",36.6326,-86.9833,3637956,8658998
202502,198701,1228868,2,1.18,"SSW","FLEWELLYN",36.4655,-86.9811,3627930,8658866
202502,198701,1228868,3,2.02,"WSW","COOPERTOWN",36.4145,-86.9807,3624870,8658842
202502,198701,1228868,4,1.98,"SE","CRUNK",36.4004,-86.854,3624024,8651240
202502,198701,1228868,5,2.09,"ENE","RIDGETON",36.4126,-86.7359,3624756,8644154
202502,198701,1228868,6,1.78,"ENE","BAGGETTSVILLE",36.4871,-86.6893,3629226,8641358
202502,198701,1228868,7,2.98,"NNW","HANDLEYTON",36.6393,-86.6523,3638358,8639138
202502,198701,1228869,1,1.52,"ENE","MODEL",36.662,-87.947,3639720,8756820
202502,198701,1228869,2,5.74,"WSW","DOVER",36.4411,-87.9212,3626466,8755272
202502,198701,1228869,3,.6,"NNE","CARLISLE",36.4382,-87.7666,3626292,8745996
202502,198701,1228869,4,1.68,"SSE","BRIGHAM HILL",36.4467,-87.6714,3626802,8740284
202502,198701,1228869,5,5,"NNE","LEGATE",36.6166,-87.665,3636996,8739900
202502,198701,1228870,1,3.43,"W","MODEL",36.6552,-88.0315,3639312,881890
202502,198701,1228870,2,1.24,"SSW","FT HENRY",36.4627,-88.026,3627762,881560
202502,198701,1228870,3,5.01,"W","DOVER",36.4788,-87.9202,3628728,8755212
202502,198701,1228870,4,2.31,"WNW","TOBACCOPORT",36.6626,-87.9187,3639756,8755122
202502,198701,1228872,1,1.42,"W","MITCHELLVILLE",36.6336,-86.5553,3638016,8633318
202502,198701,1228872,2,.67,"WSW","CLEARVIEW",36.5477,-86.6118,3632862,8636708
202502,198701,1228872,3,.69,"NE","HIGHLAND ACADEMY",36.5281,-86.4929,3631686,8629574
202502,198701,1228872,4,1.22,"NW","ROCK BRIDGE",36.5303,-86.3979,3631818,8623874
202502,198701,1228872,5,1.19,"SSE","BON AIR",36.5833,-86.3648,3634998,8621888
202502,198701,1228872,6,1.16,"NE","NUBIA",36.6436,-86.3578,3638616,8621468
202502,198701,1228876,1,.36,"WNW","OCANA",36.3819,-86.556,3622914,8633360
202502,198701,1228876,2,.55,"WNW","OCANA",36.3826,-86.5593,3622956,8633558
202502,198701,1228876,3,.57,"WSW","OCANA",36.3757,-86.5589,3622542,8633534
202502,198701,1228876,4,.8,"SW","OCANA",36.3707,-86.5586,3622242,8633516
202502,198701,1228876,5,1.21,"S","OCANA",36.3625,-86.552,3621750,8633120
202502,198701,1228876,6,1.09,"S","OCANA",36.3643,-86.5498,3621858,8632988
202502,198701,1228879,1,1.06,"SW","SHACKLE IS",36.3573,-86.6306,3621438,8637836
202502,198701,1228879,2,1.48,"ESE","SHACKLE IS",36.3619,-86.5954,3621714,8635724
202502,198701,1228879,3,1.34,"NW","SAUNDERSVILLE",36.3446,-86.5859,3620676,8635154
202502,198701,1228879,4,1.17,"S","SAUNDERSVILLE",36.3131,-86.5702,3618786,8634212
202502,198701,1228883,3,.7,"SSE","FERNVALE",35.9403,-87.0768,3556418,874608
202502,198701,1228883,4,.79,"SSE","FERNVALE",35.9394,-87.0745,3556364,874470
202502,198701,1228879,5,2.1,"SSW","SAUNDERSVILLE",36.3013,-86.5824,3618078,8634944
202502,198701,1228879,6,2.3,"E","HENDERSONVILLE",36.274,-86.5795,3616440,8634770
202502,198701,1228879,7,.23,"NNE","HENDERSONVILLE",36.2832,-86.6186,3616992,8637116
202502,198701,1228879,8,1.45,"W","ROCKLAND",36.3027,-86.6559,3618162,8639354
202502,198701,1228881,1,.38,"E","TEMPLOW",36.4293,-86.2232,3625758,8613392
202502,198701,1228881,2,3.14,"E","ANTIOCH",36.3526,-86.2136,3621156,8612816
202502,198701,1228881,3,1.39,"ENE","PROVIDENCE",36.3358,-86.1261,3620148,867566
202502,198701,1228881,4,2.89,"SSW","CATO",36.3297,-86.0634,3619782,863804
202502,198701,1228881,5,2.73,"NNE","CATO",36.4084,-86.0383,3624504,862298
202502,198701,1228883,1,.64,"SE","FERNVALE",35.9426,-87.0732,3556556,874392
202502,198701,1228883,2,.56,"SSE","FERNVALE",35.9429,-87.075,3556574,874500
202502,198994,1236235,2,4.61,"SE","NEW CONCORD",36.4989,-88.0965,3629934,885790
202502,198994,1236235,3,3.9,"SSE","NEW CONCORD",36.4996,-88.1182,3629976,887092
202502,198994,1236235,4,.83,"SW","NEW CONCORD",36.541,-88.1599,3632460,889594
202502,198994,1236237,1,.72,"ESE","WADESBORO",36.7468,-88.3077,3644808,8818462
202502,198994,1236237,2,.82,"E","DEXTER",36.7482,-88.2655,3644892,8815930
202502,198994,1236237,3,3.13,"ESE","MURRAY",36.5956,-88.2724,3635736,8816344
